Game Category,Price,Avg. Game Score,Total Reviews,Total Installs,Total Download Revenue ($)
GAME_SIMULATION,2.99,4.375,43958,620000,1853800.0
GAME_SIMULATION,3.99,4.6,7114,120000,478800.0
GAME_SIMULATION,4.99,4.444444444444445,219515,2280000,11377200.0
GAME_SIMULATION,5.49,3.8,1723,10000,54900.0
GAME_SIMULATION,6.49,4.5,3761,50000,324500.0
GAME_SIMULATION,8.99,4.2,6999,100000,899000.0
GAME_SIMULATION,11.99,4.2,13081,100000,1199000.0
GAME_SPORTS,0.99,4.25,34412,701000,693990.0
GAME_SPORTS,1.39,4.1,13257,100000,139000.0
GAME_SPORTS,1.99,4.4,140632,1110000,2208900.0
GAME_SPORTS,2.99,4.2,5745,155000,463450.0
GAME_SPORTS,3.49,4.6,366,1000,3490.0
GAME_SPORTS,3.99,4.5,2222,60000,239400.0
GAME_SPORTS,4.99,4.133333333333334,58751,521500,2602285.0
GAME_SPORTS,5.49,3.8,4576,50000,274500.0
GAME_SPORTS,5.99,3.9,11922,100000,599000.0
GAME_SPORTS,7.99,3.8,6531,50000,399500.0
GAME_SPORTS,8.99,4.0,7302,100000,899000.0
GAME_STRATEGY,0.99,4.36,35347,400000,396000.0
GAME_STRATEGY,1.0,4.3,8734,100000,100000.0
GAME_STRATEGY,1.99,4.625,117697,565000,1124350.0
GAME_STRATEGY,2.99,4.6,394675,2200000,6578000.0
GAME_STRATEGY,3.99,4.6,31337,210000,837900.0
GAME_STRATEGY,4.99,4.633333333333334,71858,560000,2794400.0
GAME_STRATEGY,6.49,4.3,9065,100000,649000.0
GAME_STRATEGY,9.99,4.2,27759,210000,2097900.0
GAME_TRIVIA,0.99,3.825,513,10660,10553.4
GAME_TRIVIA,1.49,4.5,112,1000,1490.0
GAME_TRIVIA,1.99,3.6666666666666665,2587,60100,119599.0
GAME_TRIVIA,2.49,3.5666666666666664,4383,50020,124549.79999999999
GAME_TRIVIA,2.99,4.14,3068,20700,61893.0
GAME_TRIVIA,5.99,4.5,61154,500000,2995000.0
GAME_TRIVIA,8.99,4.2,90894,1000000,8990000.0
GAME_TRIVIA,9.99,4.9,22,100,999.0
GAME_TRIVIA,24.99,3.975,55,4000,99960.0
GAME_TRIVIA,29.99,3.5,2,500,14995.0
GAME_WORD,0.99,4.349999999999999,663,22600,22374.0
GAME_WORD,1.49,3.7,3,50,74.5
GAME_WORD,1.99,4.54,998,13500,26865.0
GAME_WORD,2.49,3.3,102,1100,2739.0
GAME_WORD,2.9,4.7,453,1000,2900.0
GAME_WORD,2.99,4.333333333333333,89218,1060000,3169400.0
GAME_WORD,3.99,3.95,1591,11000,43890.0
GAME_WORD,4.49,4.7,6412,50000,224500.0
GAME_WORD,4.99,3.9,117309,600100,2994499.0
GAME_WORD,9.99,4.2,800,10000,99900.0
