,Game Title,Game Category,Game Score,Number of Reviews,Price,Number of Installs,Developer,Play Store URL
376,Sporcle,GAME_TRIVIA,3.5,1505,$1.99,50000,"Sporcle, Inc",https://play.google.com/store/apps/details?id=com.sporcle
377,BLeBRiTY,GAME_TRIVIA,4.3,452,$0.99,10000,"Communicating Rooks, LLC",https://play.google.com/store/apps/details?id=com.happeningnow.blebrity
378,The Jackbox Party Pack 3,GAME_TRIVIA,3.7,9,$24.99,1000,"Jackbox Games, Inc. N",https://play.google.com/store/apps/details?id=com.jackboxgames.TJPP3Loader
379,The Jackbox Party Pack 5,GAME_TRIVIA,3.5,2,$29.99,100,"Jackbox Games, Inc. N",https://play.google.com/store/apps/details?id=com.jackboxgames.TJPP5Loader
380,Bible Bowl Prep 2019,GAME_TRIVIA,,0,$0.99,50,3:16 Apps,https://play.google.com/store/apps/details?id=app.marrvelous.biblebowlprep.v2019
381,The Jackbox Party Pack,GAME_TRIVIA,4.3,31,$24.99,1000,"Jackbox Games, Inc. N",https://play.google.com/store/apps/details?id=com.jackboxgames.JackboxPartyLoaderFull
382,The Jackbox Party Pack 2,GAME_TRIVIA,3.9,11,$24.99,1000,"Jackbox Games, Inc. N",https://play.google.com/store/apps/details?id=com.jackboxgames.JBPP2Loader
383,The Jackbox Party Pack 4,GAME_TRIVIA,4.0,4,$24.99,1000,"Jackbox Games, Inc. N",https://play.google.com/store/apps/details?id=com.jackboxgames.TJPP4Loader
384,The 7 Second Challenge,GAME_TRIVIA,4.1,1068,$1.99,10000,Mind Candy Ltd,https://play.google.com/store/apps/details?id=com.mindcandy.sevensecondchallenge
385,The Black Card Game,GAME_TRIVIA,1.6,8,$0.99,100,The App Maker Guru,https://play.google.com/store/apps/details?id=com.mystudio.blackcard
386,Penny Dell Jumbo Crosswords,GAME_TRIVIA,4.9,22,$9.99,100,PuzzleNation,https://play.google.com/store/apps/details?id=com.puzzlenation.JumboCrosswords1
387,Text Twist 2019,GAME_TRIVIA,1.8,5,$2.49,10,App Marketing Center,https://play.google.com/store/apps/details?id=com.texttwist2019
388,Shopkins: Who's Next?,GAME_TRIVIA,5.0,5,$2.99,500,Mighty Kingdom,https://play.google.com/store/apps/details?id=com.mightykingdom.whosnext
389,4 Player Reactor (Multiplayer),GAME_TRIVIA,4.7,4373,$2.49,50000,cool cherry trees,https://play.google.com/store/apps/details?id=coolcherrytrees.games.reactor4
390,QuizClash™ PREMIUM,GAME_TRIVIA,4.2,90882,$8.99,1000000,FEO,https://play.google.com/store/apps/details?id=se.feomedia.quizkampen.de.premium
391,STEPS Trivia Game,GAME_TRIVIA,4.2,5,$2.49,10,G67,https://play.google.com/store/apps/details?id=air.net.clairerichards.StepsTrivia
392,QuizBash - Party Games in Your Pocket!,GAME_TRIVIA,5.0,11,$2.99,100,QuizBash,https://play.google.com/store/apps/details?id=com.quizbash.quizbash
393,Wer Wird Millionär?,GAME_TRIVIA,3.9,1249,$2.49,50000,Sony Pictures Television UK Rights Ltd,https://play.google.com/store/apps/details?id=com.sony.wwtbam2014german
394,the nascar quiz,GAME_TRIVIA,,0,$1.49,1,Rugby league quiz uk,https://play.google.com/store/apps/details?id=com.jacklimbert.thenascarpicturequiz
395,Guess The Movie ® - Full,GAME_TRIVIA,4.5,5091,$1.99,10000,June Gaming,https://play.google.com/store/apps/details?id=com.june.guessthemovie.paid
396,Millionaire 2019 Quiz Premium,GAME_TRIVIA,4.2,6,$0.99,100,Cango Dev,https://play.google.com/store/apps/details?id=com.cangodev.millionairepremium
397,HQ Trivia Helper Unlimited,GAME_TRIVIA,1.9,33,$2.99,100,LicketyCut,https://play.google.com/store/apps/details?id=com.licketycut.hqhelper.unlimited
398,The Music Trivia Challenge,GAME_TRIVIA,5.0,0,$0.99,50,LoadUpGames.com,https://play.google.com/store/apps/details?id=com.loadupgames.musictriviachallenge
399,Movie Trivia (Full),GAME_TRIVIA,4.5,13,$0.99,100,1C Wireless,https://play.google.com/store/apps/details?id=com.onecwireless.movietrivia.full
