,Game Title,Game Category,Game Score,Number of Reviews,Price,Number of Installs,Developer,Play Store URL
99,Lanterns: The Harvest Festival,GAME_BOARD,4.7,211,$4.99,1000,Dire Wolf Digital,https://play.google.com/store/apps/details?id=com.direwolfdigital.lanterns
100,Exploding Kittens® - Official,GAME_CARD,4.7,32051,$1.99,100000,Exploding Kittens,https://play.google.com/store/apps/details?id=com.explodingkittens.projectbombsquad
101,Reigns,GAME_CARD,4.7,142464,$2.99,500000,DevolverDigital,https://play.google.com/store/apps/details?id=com.devolver.reigns
102,Skip-Bo™,GAME_CARD,4.4,34599,$2.99,100000,Magmic Inc,https://play.google.com/store/apps/details?id=com.magmic.skipbo
103,Card Wars - Adventure Time,GAME_CARD,4.3,130131,$2.99,1000000,Cartoon Network,https://play.google.com/store/apps/details?id=com.turner.cardwars
104,Reigns: Game of Thrones,GAME_CARD,4.7,8841,$3.99,50000,DevolverDigital,https://play.google.com/store/apps/details?id=com.devolver.reignsGot
105,Reigns: Her Majesty,GAME_CARD,4.8,15371,$2.99,100000,DevolverDigital,https://play.google.com/store/apps/details?id=com.devolver.reigns2
106,Meteorfall: Journeys,GAME_CARD,4.7,558,$3.99,10000,Slothwerks,https://play.google.com/store/apps/details?id=com.slothwerks.meteorfall
107,Solitaire+,GAME_CARD,4.6,11853,$2.99,100000,Brainium Studios,https://play.google.com/store/apps/details?id=com.brainium.solitaire
108,Phase 10,GAME_CARD,4.2,35627,$4.99,100000,Magmic Inc,https://play.google.com/store/apps/details?id=com.magmic.phase10
109,Card Quest,GAME_CARD,4.7,271,$4.99,5000,Black Shell Media,https://play.google.com/store/apps/details?id=com.winterspring.cardquest
110,Decked Builder,GAME_CARD,4.3,4267,$3.99,50000,Decked Studios,https://play.google.com/store/apps/details?id=com.deckedbuilder.deckedbuilder
111,Cribbage Pro Online!,GAME_CARD,4.6,6656,$2.99,50000,"Fuller Systems, Inc.",https://play.google.com/store/apps/details?id=com.fullersystems.cribbage.online
112,Kemono Mahjong,GAME_CARD,4.9,462,$3.99,1000,CyberDog Software,https://play.google.com/store/apps/details?id=com.kemonomahjong.app
113,SET Mania,GAME_CARD,5.0,8,$1.99,500,CF Digital,https://play.google.com/store/apps/details?id=com.setgame.setmania
114,Blackbird,GAME_CARD,4.4,1709,$0.99,10000,R. Don Wilson,https://play.google.com/store/apps/details?id=net.donwilson.blackbird
115,Solitaire MegaPack,GAME_CARD,4.6,6503,$2.99,100000,Tesseract Mobile,https://play.google.com/store/apps/details?id=com.tesseractmobile.solitairemulti
116,Cribbage With Grandpas,GAME_CARD,4.5,55,$2.99,1000,Less Than Three Interactive,https://play.google.com/store/apps/details?id=com.lessthanthree.crib
117,Patch Tarot,GAME_CARD,4.8,72,$2.99,1000,Spirit Studios Inc,https://play.google.com/store/apps/details?id=com.spiritsciencecentral.patchtarot
118,Spades,GAME_CARD,4.2,582,$1.99,10000,AI Factory Limited,https://play.google.com/store/apps/details?id=uk.co.aifactory.spades
119,Gin Rummy,GAME_CARD,4.2,446,$1.99,10000,AI Factory Limited,https://play.google.com/store/apps/details?id=uk.co.aifactory.ginrummy
120,Euchre,GAME_CARD,4.2,123,$1.99,1000,AI Factory Limited,https://play.google.com/store/apps/details?id=uk.co.aifactory.euchre
121,FreeCell Solitaire+,GAME_CARD,4.7,2772,$2.99,10000,Brainium Studios,https://play.google.com/store/apps/details?id=com.brainium.freecell
122,Solitaire Collection Premium,GAME_CARD,4.6,889,$1.95,10000,Ruben Reboredo,https://play.google.com/store/apps/details?id=org.rrl.android.solitairecollectiondeluxe
123,Spider Solitaire+,GAME_CARD,4.6,3364,$2.99,10000,Brainium Studios,https://play.google.com/store/apps/details?id=com.brainium.spider
124,Cat Lady - The Card Game,GAME_CARD,4.8,130,$1.99,1000,Nomad Games,https://play.google.com/store/apps/details?id=com.nomadgames.catlady
125,Fun Slot Machine Las Vegas Pro,GAME_CASINO,4.5,11,$0.99,50,Fortune Wheel of Slot Machine,https://play.google.com/store/apps/details?id=com.fortunewheel.funfreeslotspro
126,Pokertrainer,GAME_CASINO,4.2,106,$0.99,5000,Thomas Karlsson,https://play.google.com/store/apps/details?id=nu.Pokertrainer.Pokertrainer
127,Card Counter,GAME_CASINO,4.7,173,$2.99,1000,TMSOFT,https://play.google.com/store/apps/details?id=com.tmsoft.cardcounter
128,MEGA Money Slots PAID,GAME_CASINO,4.0,7,$1.99,500,Mobile Amusements,https://play.google.com/store/apps/details?id=com.mobileamusements.MegaMoneySlotsPAID
129,Craps Trainer Pro,GAME_CASINO,4.0,339,$4.99,10000,E7Systems.com,https://play.google.com/store/apps/details?id=com.e7systems.craps.pro
130,Top Money 💵 Slots (PREMIUM),GAME_CASINO,4.4,137,$0.99,1000,Pure Casino Apps,https://play.google.com/store/apps/details?id=com.pure.casino.classic.free.slots.topmoneypremium
131,VIP Slots Club ★ VIP Casino,GAME_CASINO,4.6,483,$0.99,5000,Duksel Slots & Games,https://play.google.com/store/apps/details?id=com.duksel.slotsclubvip
132,Wild West Faro,GAME_CASINO,4.9,23,$1.49,100,Alpha Innovation Game Studios Ltd.,https://play.google.com/store/apps/details?id=com.AlphaInnovation.WildWestFaroBTT
133,Ultimate X Poker,GAME_CASINO,4.2,87,$1.99,1000,KFTV,https://play.google.com/store/apps/details?id=com.horroronthego.Ultimate_X_Poker
134,Vintage Pachinko,GAME_CASINO,4.0,54,$0.99,1000,Smiling Cat Entertainment LTD,https://play.google.com/store/apps/details?id=com.SmilingCatEntertainment.VintagePachinkoA
135,Roulette Trainer,GAME_CASINO,4.0,2,$2.99,100,Casino Training Software,https://play.google.com/store/apps/details?id=com.roulette.trainer.app
136,Carnival Fiesta Slots PAID,GAME_CASINO,3.8,54,$1.99,1000,Mobile Amusements,https://play.google.com/store/apps/details?id=com.mobileamusements.CarnivalFiestaSlots
137,Cleopatra Keno,GAME_CASINO,3.3,41,$1.99,1000,ejbytes,https://play.google.com/store/apps/details?id=air.com.ejbytes.cleopatrakeno
138,Looking Glass Loot Slots PAID,GAME_CASINO,4.3,13,$0.99,100,Big Lucky Win,https://play.google.com/store/apps/details?id=com.bigluckywin.lookingglasslootpaid
139,Crock O'Gold Rainbow Slots PAID,GAME_CASINO,,0,$1.99,5,Mobile Amusements,https://play.google.com/store/apps/details?id=com.mobileamusements.CrockOGoldSlotsPAID
140,Mega Hearts 2 Slots,GAME_CASINO,4.1,191,$2.89,10000,616 Digital LLC.,https://play.google.com/store/apps/details?id=com.pokiemagic.MegaHearts2
141,Scratch-a-Lotto Scratch Card Lottery PAID,GAME_CASINO,4.3,3,$1.99,100,Mobile Amusements,https://play.google.com/store/apps/details?id=com.mobileamusements.ScratchaLottoFREE
142,Best Hold,GAME_CASINO,5.0,0,$4.99,10,VideoPoker.com,https://play.google.com/store/apps/details?id=com.actiongaming.besthold
143,Cool Keno Plus,GAME_CASINO,4.1,15,$1.99,100,Chuck Santo,https://play.google.com/store/apps/details?id=air.air.CoolKenoPlus2
144,Slot machine cherry master,GAME_CASINO,3.6,241,$1.49,10000,H&P,https://play.google.com/store/apps/details?id=com.SmartFruitsSlot
145,Zeus Epic Slots Machine Pro,GAME_CASINO,5.0,0,$0.99,5,Fortune Wheel of Slot Machine,https://play.google.com/store/apps/details?id=com.fortunewheel.zeusepicpro
146,Slot Machine+,GAME_CASINO,4.4,12126,$0.99,100000,Apostek Software LLP,https://play.google.com/store/apps/details?id=com.apostek.SlotMachine.paid
147,Slinder BitCoin Slots,GAME_CASINO,,0,$0.99,1,SlinderWear,https://play.google.com/store/apps/details?id=com.wSlinderBitCoinSlots_8364011
148,Video Poker PayTables by VideoPoker.com,GAME_CASINO,3.7,3,$1.99,10,VideoPoker.com,https://play.google.com/store/apps/details?id=videopoker.paytablefinder
149,Blackjack Wiz Casino Trainer,GAME_CASINO,3.8,4,$2.99,50,Sea-Rocks Entertainment,https://play.google.com/store/apps/details?id=com.searocks.blackjackwiz001
150,Let's Create! Pottery,GAME_CASUAL,4.6,27484,$4.99,100000,Infinite Dreams,https://play.google.com/store/apps/details?id=pl.idreams.pottery
151,Hidden Folks,GAME_CASUAL,4.8,884,$3.99,10000,Adriaan de Jongh,https://play.google.com/store/apps/details?id=com.adriaandejongh.hiddenfolks
152,FINAL FANTASY,GAME_CASUAL,3.9,7722,$7.99,100000,"SQUARE ENIX Co.,Ltd.",https://play.google.com/store/apps/details?id=com.square_enix.android_googleplay.finalfantasy
153,Meme Soundboard PRO 2019,GAME_CASUAL,4.7,843,$0.99,10000,Zeptars,https://play.google.com/store/apps/details?id=com.zeptars.memesoundboardpro
154,Tamagotchi Classic - Gen1,GAME_CASUAL,3.8,792,$0.99,50000,BANDAI NAMCO Entertainment Inc.,https://play.google.com/store/apps/details?id=com.bandainamcoent.tamagothiclassicus
155,Game Dev Story,GAME_CASUAL,4.6,61924,$2.49,500000,"Kairosoft Co.,Ltd",https://play.google.com/store/apps/details?id=net.kairosoft.android.gamedev3en
156,Jazza's Arty Games,GAME_CASUAL,4.8,2975,$2.99,50000,Jazza Studios,https://play.google.com/store/apps/details?id=com.JazzaStudios.JazzasArtyGames
157,Little Inferno,GAME_CASUAL,4.5,14049,$4.99,100000,Tomorrow Corporation,https://play.google.com/store/apps/details?id=com.littleinferno.google
158,supertype,GAME_CASUAL,4.4,85,$1.99,5000,Philipp Stollenmayer,https://play.google.com/store/apps/details?id=de.kamibox.typo
159,My PlayHome Stores,GAME_CASUAL,4.5,2012,$2.99,50000,Shimon Young : Play Home Software,https://play.google.com/store/apps/details?id=com.playhome.stores
160,My PlayHome : Play Home Doll House,GAME_CASUAL,4.6,3799,$3.49,50000,Shimon Young : Play Home Software,https://play.google.com/store/apps/details?id=com.playhome
161,Fieldrunners HD,GAME_CASUAL,3.5,8397,$1.99,100000,"Subatomic Studios, LLC",https://play.google.com/store/apps/details?id=com.subatomicstudios
162,SpongeBob's Game Frenzy,GAME_CASUAL,4.1,1606,$2.99,50000,Nickelodeon,https://play.google.com/store/apps/details?id=com.mtvn.SBminigame
163,My PlayHome School,GAME_CASUAL,4.6,1706,$2.99,50000,Shimon Young : Play Home Software,https://play.google.com/store/apps/details?id=com.playhome.school
164,Brink of Consciousness (Full),GAME_CASUAL,4.2,3946,$0.99,10000,Big Fish Games,https://play.google.com/store/apps/details?id=com.bigfishgames.doriangraygoogfull
165,Hotel Dash Deluxe,GAME_CASUAL,3.8,3776,$1.99,50000,Glu,https://play.google.com/store/apps/details?id=com.playfirst.playground.hoteldashdeluxe
166,My PlayHome Hospital,GAME_CASUAL,4.7,1057,$2.99,10000,Shimon Young : Play Home Software,https://play.google.com/store/apps/details?id=com.playhome.hospital
167,Haunted Hotel: Death Sentence (Full),GAME_CASUAL,4.4,1238,$2.99,10000,Big Fish Games,https://play.google.com/store/apps/details?id=com.bigfishgames.hhdsgoogfull
168,ReactionLab 2,GAME_CASUAL,4.5,695,$1.29,5000,H.F. Games,https://play.google.com/store/apps/details?id=hfgames.reactionlab2
169,Burger Shop 2 Deluxe,GAME_CASUAL,4.9,355,$1.99,5000,GoBit Games,https://play.google.com/store/apps/details?id=com.gobit.burgershop2.premium
170,Wedding Dash Deluxe,GAME_CASUAL,3.8,4064,$1.99,50000,Glu,https://play.google.com/store/apps/details?id=com.playfirst.playground.weddingdashdeluxe
171,Virtual Villagers 4,GAME_CASUAL,3.4,1872,$1.99,10000,"Last Day of Work, LLC",https://play.google.com/store/apps/details?id=com.ldw.vv4
172,SpongeBob Diner Dash Deluxe,GAME_CASUAL,4.1,1256,$1.99,10000,Glu,https://play.google.com/store/apps/details?id=com.playfirst.playground.dinerdashspongebobdeluxe
173,Fieldrunners 2,GAME_CASUAL,4.3,10486,$2.99,100000,"Subatomic Studios, LLC",https://play.google.com/store/apps/details?id=com.subatomicstudios.fieldrunners2
174,Mega Mall Story,GAME_CASUAL,4.5,3026,$4.99,50000,"Kairosoft Co.,Ltd",https://play.google.com/store/apps/details?id=net.kairosoft.android.depart_en
175,Teach Your Monster to Read - Phonics and Reading,GAME_EDUCATIONAL,4.4,779,$4.99,100000,Teach Monster Games Limited,https://play.google.com/store/apps/details?id=com.teachyourmonstertoread.tmapp
176,Explore Daniel's Neighborhood,GAME_EDUCATIONAL,4.4,1409,$2.99,50000,PBS KIDS,https://play.google.com/store/apps/details?id=org.pbskids.dtigerexploreneighborhood
177,Toca Boo,GAME_EDUCATIONAL,4.2,1875,$3.99,50000,Toca Boca,https://play.google.com/store/apps/details?id=com.tocaboca.tocaboo
178,Toca Blocks,GAME_EDUCATIONAL,4.4,5865,$3.99,100000,Toca Boca,https://play.google.com/store/apps/details?id=com.tocaboca.blocks
179,My City : Office,GAME_EDUCATIONAL,4.4,91,$2.99,1000,My Town Games Ltd,https://play.google.com/store/apps/details?id=mycity.office
180,My Town : Airport,GAME_EDUCATIONAL,4.5,503,$2.99,10000,My Town Games Ltd,https://play.google.com/store/apps/details?id=mytown.airport
181,Peppa Pig: Holiday,GAME_EDUCATIONAL,3.7,394,$2.99,50000,Entertainment One,https://play.google.com/store/apps/details?id=com.peppapig.holiday
182,Toca Lab: Plants,GAME_EDUCATIONAL,4.2,728,$3.99,50000,Toca Boca,https://play.google.com/store/apps/details?id=com.tocaboca.tocalabplants
183,My Town : Hospital,GAME_EDUCATIONAL,4.2,908,$2.99,10000,My Town Games Ltd,https://play.google.com/store/apps/details?id=mytown.hospital
184,Daniel Tiger's Stop & Go Potty,GAME_EDUCATIONAL,3.1,146,$2.99,10000,PBS KIDS,https://play.google.com/store/apps/details?id=air.org.pbskids.danieltigerpottyapp
185,BRIO World - Railway,GAME_EDUCATIONAL,4.5,454,$2.99,10000,Filimundus AB,https://play.google.com/store/apps/details?id=se.filimundus.briorailway
186,My City : Dentist visit,GAME_EDUCATIONAL,4.4,135,$2.99,5000,My Town Games Ltd,https://play.google.com/store/apps/details?id=mycity.dentist
187,My Town : ICEME Amusement Park,GAME_EDUCATIONAL,4.5,238,$2.99,10000,My Town Games Ltd,https://play.google.com/store/apps/details?id=mytown.amusementpark
188,Dr. Panda Restaurant 2,GAME_EDUCATIONAL,4.3,3791,$2.99,100000,Dr. Panda,https://play.google.com/store/apps/details?id=com.tribeplay.pandarestaurant2
189,Stack the States® 2,GAME_EDUCATIONAL,4.4,131,$2.99,10000,Dan Russell-Pinson,https://play.google.com/store/apps/details?id=com.freecloud.StackTheStates2
190,Toca Mystery House,GAME_EDUCATIONAL,4.2,154,$3.99,10000,Toca Boca,https://play.google.com/store/apps/details?id=com.tocaboca.tocamysteryhouse
191,My City : Home,GAME_EDUCATIONAL,4.2,527,$2.99,10000,My Town Games Ltd,https://play.google.com/store/apps/details?id=mycity.home
192,Learn to Read with Tommy Turtle,GAME_EDUCATIONAL,4.2,1118,$2.99,100000,Intellijoy Educational Games for Kids,https://play.google.com/store/apps/details?id=com.intellijoy.android.reading
193,My Town : Pets,GAME_EDUCATIONAL,4.4,249,$2.99,10000,My Town Games Ltd,https://play.google.com/store/apps/details?id=mytown.pets
194,My Town : School,GAME_EDUCATIONAL,4.3,660,$2.99,10000,My Town Games Ltd,https://play.google.com/store/apps/details?id=mytown.school
195,Wild Kratts Rescue Run,GAME_EDUCATIONAL,3.5,12,$2.99,1000,PBS KIDS,https://play.google.com/store/apps/details?id=org.pbskids.wildkrattsrunner
196,My City : After School,GAME_EDUCATIONAL,4.3,158,$2.99,5000,My Town Games Ltd,https://play.google.com/store/apps/details?id=mycity.afterschool
197,PAW Patrol Air and Sea Adventures,GAME_EDUCATIONAL,3.9,1991,$3.99,100000,Nickelodeon,https://play.google.com/store/apps/details?id=net.pluginmedia.pawpatrolflyer
198,My Town : Best Friends' House,GAME_EDUCATIONAL,4.4,768,$2.99,10000,My Town Games Ltd,https://play.google.com/store/apps/details?id=mytown.friendshouse
199,Second Grade Learning Games,GAME_EDUCATIONAL,4.4,553,$3.99,10000,RosiMosi LLC,https://play.google.com/store/apps/details?id=com.kevinbradford.games.secondgrade
200,Cytus II,GAME_MUSIC,4.7,28023,$1.99,100000,Rayark International Limited,https://play.google.com/store/apps/details?id=com.rayark.cytus2
201,Incredibox,GAME_MUSIC,4.8,4533,$3.99,50000,So Far So Good,https://play.google.com/store/apps/details?id=com.sofarsogood.incredibox
202,Lowriders Comeback 2: Cruising,GAME_MUSIC,4.7,689,$1.99,10000,MontanaGames,https://play.google.com/store/apps/details?id=com.MontanaGames.Lowriders.Comeback2
203,Muse Dash,GAME_MUSIC,4.7,7328,$2.99,50000,X.D. Network,https://play.google.com/store/apps/details?id=com.prpr.musedash
204,Note Rush: Learn to Read Music,GAME_MUSIC,4.4,110,$3.99,5000,Thomas Grayston Software,https://play.google.com/store/apps/details?id=com.TGSoftware.NoteRush
205,My Singing Monsters Composer,GAME_MUSIC,4.4,293,$4.49,1000,Big Blue Bubble,https://play.google.com/store/apps/details?id=com.bigbluebubble.msmcomposer
206,Ghostemane Pentacles 1.5,GAME_MUSIC,5.0,6,$0.99,100,Rapsmyinitials,https://play.google.com/store/apps/details?id=com.rapsmyinitials.ghostemanepentacles
207,Drum Pad Beats,GAME_MUSIC,4.9,13,$7.99,100,"Teoti Graphix, LLC",https://play.google.com/store/apps/details?id=com.teotigraphix.drumpadbeats
208,Learn Music Notes,GAME_MUSIC,4.8,179,$1.99,5000,K0RTXTECH,https://play.google.com/store/apps/details?id=air.junglemusic
209,Wonder Parade,GAME_MUSIC,4.7,117,$3.99,1000,studioQuare,https://play.google.com/store/apps/details?id=com.studioQuare.WP
210,VirtualDrumming,GAME_MUSIC,3.9,216,$1.06,5000,Virtual Drumming,https://play.google.com/store/apps/details?id=it.virtualdrumming.android
211,Caustic 3.2 DubTech Pack 1,GAME_MUSIC,5.0,2,$0.99,100,"Teoti Graphix, LLC",https://play.google.com/store/apps/details?id=com.teotigraphix.dubtech1
212,TREBLE CAT,GAME_MUSIC,4.1,87,$4.99,10000,LMuse Limited,https://play.google.com/store/apps/details?id=com.stockmusicboutique.treblecatpro
213,Caustic 3.2 DrumSynth Pack 4,GAME_MUSIC,,0,$0.99,100,"Teoti Graphix, LLC",https://play.google.com/store/apps/details?id=com.teotigraphix.drumsynth4
214,Orbital Loop,GAME_MUSIC,4.0,4,$1.99,500,Fun Bits,https://play.google.com/store/apps/details?id=com.FunBits.DrumCircles
215,Caustic 3.2 TechHouse Pack 3,GAME_MUSIC,4.0,0,$0.99,100,"Teoti Graphix, LLC",https://play.google.com/store/apps/details?id=com.teotigraphix.techhouse3
216,Caustic 3.2 House Pack 1,GAME_MUSIC,5.0,2,$0.99,100,"Teoti Graphix, LLC",https://play.google.com/store/apps/details?id=com.teotigraphix.house1
217,Caustic 3.2 Minimal Pack 2,GAME_MUSIC,5.0,2,$0.99,100,"Teoti Graphix, LLC",https://play.google.com/store/apps/details?id=com.teotigraphix.minimal2
218,Caustic 3.2 Tech House Pack 1,GAME_MUSIC,5.0,2,$0.99,100,"Teoti Graphix, LLC",https://play.google.com/store/apps/details?id=com.teotigraphix.techhouse1
219,Professional Flute Elite,GAME_MUSIC,2.0,0,$0.99,10,Alyaka,https://play.google.com/store/apps/details?id=tr.com.alyaka.alper.professionalfluteelite
220,Piano Flashcards,GAME_MUSIC,4.3,20,$2.00,100,Uriel Frankel,https://play.google.com/store/apps/details?id=frankel.uriel.piano
221,Hangman The Doors Band Trivia,GAME_MUSIC,5.0,0,$0.99,10,Apt App,https://play.google.com/store/apps/details?id=air.theDoorsHangman
222,Piano Master Christmas Special,GAME_MUSIC,4.0,133,$0.99,1000,B77 Entertainment,https://play.google.com/store/apps/details?id=it.b77.pianomasterchristmas2
223,Piano Master,GAME_MUSIC,4.4,2481,$1.99,50000,B77 Entertainment,https://play.google.com/store/apps/details?id=it.b77.pianomaster2
224,Meow Music,GAME_MUSIC,5.0,2,$0.99,10,Eyponr,https://play.google.com/store/apps/details?id=com.eyup.MeowMusicFEE
225,The Room,GAME_PUZZLE,4.8,238543,$0.99,1000000,Fireproof Games,https://play.google.com/store/apps/details?id=com.FireproofStudios.TheRoom
226,Scribblenauts Remix,GAME_PUZZLE,4.2,106317,$0.99,1000000,Warner Bros. International Enterprises,https://play.google.com/store/apps/details?id=com.wb.goog.scribbleremix
227,Scribblenauts Unlimited,GAME_PUZZLE,4.4,12756,$4.99,100000,Warner Bros. International Enterprises,https://play.google.com/store/apps/details?id=com.wb.goog.scribblenauts3
228,The Room: Old Sins,GAME_PUZZLE,4.9,38176,$4.99,100000,Fireproof Games,https://play.google.com/store/apps/details?id=com.FireproofStudios.TheRoom4
229,Florence,GAME_PUZZLE,4.8,5582,$2.99,10000,Annapurna Interactive,https://play.google.com/store/apps/details?id=com.mountains.feathertop
230,Monument Valley,GAME_PUZZLE,4.8,208257,$3.99,1000000,ustwo games,https://play.google.com/store/apps/details?id=com.ustwo.monumentvalley
231,The House of Da Vinci,GAME_PUZZLE,4.8,15496,$4.99,100000,Blue Brain Games s.r.o.,https://play.google.com/store/apps/details?id=com.bluebraingames.thehouseofdavinci
232,The Room Three,GAME_PUZZLE,4.9,86489,$3.99,500000,Fireproof Games,https://play.google.com/store/apps/details?id=com.FireproofStudios.TheRoom3
233,The Room Two,GAME_PUZZLE,4.9,201724,$1.99,1000000,Fireproof Games,https://play.google.com/store/apps/details?id=com.FireproofStudios.TheRoom2
234,Agent A: A puzzle in disguise,GAME_PUZZLE,4.8,21597,$1.29,100000,Yak & Co,https://play.google.com/store/apps/details?id=co.yakand.agentaapuzzleindisguise
235,Monument Valley 2,GAME_PUZZLE,4.7,12917,$4.99,100000,ustwo games,https://play.google.com/store/apps/details?id=com.ustwo.monumentvalley2
236,Bridge Constructor Portal,GAME_PUZZLE,4.9,5424,$4.99,100000,Headup,https://play.google.com/store/apps/details?id=com.headupgames.bridgeconstructorportal
237,Hitman GO,GAME_PUZZLE,4.6,85838,$0.99,500000,SQUARE ENIX Ltd,https://play.google.com/store/apps/details?id=com.squareenixmontreal.hitmango
238,Lara Croft GO,GAME_PUZZLE,4.8,59831,$0.99,500000,SQUARE ENIX Ltd,https://play.google.com/store/apps/details?id=com.squareenixmontreal.lcgo
239,Where's My Water?,GAME_PUZZLE,4.7,189766,$1.99,1000000,Disney,https://play.google.com/store/apps/details?id=com.disney.WMW
240,Doodle God™,GAME_PUZZLE,4.2,14728,$0.99,100000,JoyBits Co. Ltd.,https://play.google.com/store/apps/details?id=joybits.doodlegod
241,Gorogoa,GAME_PUZZLE,4.7,650,$4.99,10000,Annapurna Interactive,https://play.google.com/store/apps/details?id=unity.Annapurna.Gorogoa
242,Doodle God™ HD,GAME_PUZZLE,4.1,5435,$1.99,50000,JoyBits Co. Ltd.,https://play.google.com/store/apps/details?id=joybits.doodlegod_hd
243,Deus Ex GO,GAME_PUZZLE,4.5,9968,$0.99,100000,SQUARE ENIX Ltd,https://play.google.com/store/apps/details?id=com.squareenixmontreal.deusexgo
244,Human Resource Machine,GAME_PUZZLE,4.7,1063,$4.99,10000,Tomorrow Corporation,https://play.google.com/store/apps/details?id=com.tomorrowcorporation.humanresourcemachine
245,Doodle Devil™ HD,GAME_PUZZLE,4.2,1183,$0.99,10000,JoyBits Co. Ltd.,https://play.google.com/store/apps/details?id=com.joybits.doodledevil_hd_pay
246,Cut the Rope GOLD,GAME_PUZZLE,4.6,63936,$0.99,1000000,ZeptoLab,https://play.google.com/store/apps/details?id=com.zeptolab.ctr.paid
247,"Please, Don't Touch Anything",GAME_PUZZLE,4.4,1861,$4.99,50000,ForwardXP,https://play.google.com/store/apps/details?id=com.fourquarters.PleaseDontTouchAnything
248,"sugar, sugar",GAME_PUZZLE,4.2,1453,$1.20,50000,Bart Bonte,https://play.google.com/store/apps/details?id=air.air.SugarSugar
249,World of Goo,GAME_PUZZLE,4.7,35048,$4.99,500000,2D BOY,https://play.google.com/store/apps/details?id=com.twodboy.worldofgoofull
250,Real Drift Car Racing,GAME_RACING,4.6,53928,$0.99,500000,Real Games srls,https://play.google.com/store/apps/details?id=com.realdrift.sipon
251,Need for Speed Most Wanted,GAME_RACING,3.9,44730,$4.99,1000000,ELECTRONIC ARTS,https://play.google.com/store/apps/details?id=com.ea.games.nfs13_na
252,Earn to Die,GAME_RACING,4.5,78810,$1.49,1000000,Not Doppler,https://play.google.com/store/apps/details?id=com.notdoppler.earntodie
253,Bike Race Pro by T. F. Games,GAME_RACING,4.7,22405,$0.99,100000,Top Free Games.,https://play.google.com/store/apps/details?id=com.topfreegames.bikeraceproworld
254,Motorsport Manager Mobile 3,GAME_RACING,4.7,6287,$3.99,100000,Playsport Games,https://play.google.com/store/apps/details?id=com.playsportgames.mmm3
255,Rush Rally 2,GAME_RACING,4.5,3060,$0.99,50000,Brownmonster Limited,https://play.google.com/store/apps/details?id=brownmonster.app.game.rushrally2
256,Riptide GP: Renegade,GAME_RACING,4.7,4712,$2.99,100000,Vector Unit,https://play.google.com/store/apps/details?id=com.vectorunit.silver.googleplay
257,TRAIL CLIMB,GAME_RACING,3.4,655,$0.99,10000,GOOD BOYS,https://play.google.com/store/apps/details?id=com.GB.TRAILCLIMB
258,Dirt Trackin,GAME_RACING,4.6,5928,$2.99,50000,"Bennett Racing Simulations, LLC",https://play.google.com/store/apps/details?id=com.bennettracingsimulations.dirttrackin
259,PJ Masks: Racing Heroes,GAME_RACING,2.7,24,$3.99,1000,Entertainment One,https://play.google.com/store/apps/details?id=com.pjmasks.racingheroes
260,Dirt Trackin Sprint Cars,GAME_RACING,3.8,629,$3.99,10000,"Bennett Racing Simulations, LLC",https://play.google.com/store/apps/details?id=com.dt.sprintcars
261,F1 2016,GAME_RACING,4.1,10809,$1.99,100000,Codemasters Software Company Ltd,https://play.google.com/store/apps/details?id=com.codemasters.f12016
262,Riptide GP2,GAME_RACING,4.6,37223,$1.99,500000,Vector Unit,https://play.google.com/store/apps/details?id=com.vectorunit.red
263,Ricky Carmichael's Motocross,GAME_RACING,3.9,5350,$0.99,100000,"2XL Games, Inc.",https://play.google.com/store/apps/details?id=com.twoxlgames.mxmatchup
264,Need for Speed Hot Pursuit,GAME_RACING,3.3,4412,$4.99,100000,ELECTRONIC ARTS,https://play.google.com/store/apps/details?id=com.eamobile.nfshp_na_wf
265,Outlaws - Sprint Car Racing,GAME_RACING,1.4,5,$3.49,100,Game Mode,https://play.google.com/store/apps/details?id=ea.f1championship
266,Absolute Drift,GAME_RACING,3.9,77,$2.99,1000,Noodlecake Studios Inc,https://play.google.com/store/apps/details?id=com.noodlecake.absolutedrift
267,Pocket Rally,GAME_RACING,4.2,6718,$0.99,100000,Illusion Magic Studio,https://play.google.com/store/apps/details?id=com.IMStudio.PocketRally
268,Drag Racing 3D,GAME_RACING,4.4,13646,$0.99,100000,REVOLUTION FIST,https://play.google.com/store/apps/details?id=com.mvasiliy.dragracing3d
269,ULTRA4 Offroad Racing,GAME_RACING,4.1,3812,$1.99,100000,Gigabit Games,https://play.google.com/store/apps/details?id=com.GigaBitGames.Ultra4OffroadRacing
270,Draw Rider Plus,GAME_RACING,4.6,2798,$0.99,10000,17Studio,https://play.google.com/store/apps/details?id=com.Studio17.drawriderplus
271,Mini Motor Racing,GAME_RACING,4.2,21234,$2.99,100000,The Binary Mill,https://play.google.com/store/apps/details?id=com.nextgenreality.minimoto
272,Bike Mayhem Mountain Racing,GAME_RACING,4.3,16991,$0.99,100000,Best Free Games Inc.,https://play.google.com/store/apps/details?id=mobi.bestfreegames.bike.mayhem.extreme.mountain.racing
273,Riptide GP,GAME_RACING,4.5,9329,$0.99,100000,Vector Unit,https://play.google.com/store/apps/details?id=com.vectorunit.blue
274,Need for Speed™ No Limits VR,GAME_RACING,3.2,258,$14.99,10000,ELECTRONIC ARTS,https://play.google.com/store/apps/details?id=com.ea.gp.nfs14vr
